title,company,location,stipend,detail_url,role_category,skills
Wealth Management,Siddharth Shankaran,,"₹ 5,000 /month",https://internshala.com/internship/detail/part-time-wealth-management-internship-in-multiple-locations-at-siddharth-shankaran1784614852,Data Analyst,"Attention to Detail, Content Editing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Letter of recommendation, Flexible work hours, 5 days a week"
Database Research,Icon Resources,,"₹ 10,000 /month",https://internshala.com/internship/detail/database-research-internship-in-mumbai-at-icon-resources1785441179,Data Analyst,"Data Extraction, Data Preparation, Market research, Certificate, 5 days a week"
Performance Marketer,Unbundl,,"₹ 7,000 - 15,000 /month",https://internshala.com/internship/detail/performance-marketer-internship-in-delhi-at-unbundl1785077417,Data Analyst,"Facebook Ads, Google AdWords, Instagram Ads, Certificate, Letter of recommendation, Informal dress code"
Market Research,Fairvalue Insuretech Private Limited,,"₹ 2,500 - 5,000 /month",https://internshala.com/internship/detail/market-research-internship-in-noida-at-fairvalue-insuretech-private-limited1785135097,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Research and Analytics, Certificate, Letter of recommendation"
Sales and Marketing,BNM Business Solutions LLP,,"₹ 28,000 - 35,000 /month",https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-bnm-business-solutions-llp1786943256,Data Analyst,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Negotiation, Certificate, Letter of recommendation"
Customer Service/Customer Support,OpenIntervue,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-openintervue1784725895,Data Analyst,"Coordination, Customer Support, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Office, Time Management, Certificate"
Customer Service/Customer Support,Kratos Gamer Network,,"₹ 20,000 - 20,001 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-kratos-gamer-network1786104505,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Flexible work hours, 5 days a week"
Program Management,Times Internet Limited,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/program-management-internship-in-noida-at-times-internet-limited1786608899,Data Analyst,"Effective Communication, Google Docs, Google Sheets, Certificate, 5 days a week"
Data Entry,Goin' My Way,,"₹ 4,000 - 5,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-delhi-at-goin-my-way1785902943,Data Analyst,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, MS-Office, Certificate, Letter of recommendation"
Customer Service/Customer Support,Testkart,,"₹ 5,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-testkart1785485997,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages"
