title,company,location,stipend,detail_url,role_category,skills,cleaned_text,extracted_skills
Wealth Management,Siddharth Shankaran,,"₹ 5,000 /month",https://internshala.com/internship/detail/part-time-wealth-management-internship-in-multiple-locations-at-siddharth-shankaran1784614852,Data Analyst,"Attention to Detail, Content Editing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Letter of recommendation, Flexible work hours, 5 days a week",attention to detail content editing english proficiency spoken english proficiency written ms excel ms powerpoint ms word letter of recommendation flexible work hours 5 days a week,['excel']
Database Research,Icon Resources,,"₹ 10,000 /month",https://internshala.com/internship/detail/database-research-internship-in-mumbai-at-icon-resources1785441179,Data Analyst,"Data Extraction, Data Preparation, Market research, Certificate, 5 days a week",data extraction data preparation market research certificate 5 days a week,[]
Performance Marketer,Unbundl,,"₹ 7,000 - 15,000 /month",https://internshala.com/internship/detail/performance-marketer-internship-in-delhi-at-unbundl1785077417,Data Analyst,"Facebook Ads, Google AdWords, Instagram Ads, Certificate, Letter of recommendation, Informal dress code",facebook ads google adwords instagram ads certificate letter of recommendation informal dress code,[]
Market Research,Fairvalue Insuretech Private Limited,,"₹ 2,500 - 5,000 /month",https://internshala.com/internship/detail/market-research-internship-in-noida-at-fairvalue-insuretech-private-limited1785135097,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Research and Analytics, Certificate, Letter of recommendation",english proficiency spoken english proficiency written ms excel ms office ms powerpoint ms word research and analytics certificate letter of recommendation,['excel']
Sales and Marketing,BNM Business Solutions LLP,,"₹ 28,000 - 35,000 /month",https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-bnm-business-solutions-llp1786943256,Data Analyst,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Negotiation, Certificate, Letter of recommendation",client interaction client relationship effective communication english proficiency spoken negotiation certificate letter of recommendation,[]
Customer Service/Customer Support,OpenIntervue,,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-openintervue1784725895,Data Analyst,"Coordination, Customer Support, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Office, Time Management, Certificate",coordination customer support english proficiency spoken english proficiency written hindi proficiency spoken interpersonal skills ms excel ms office time management certificate,['excel']
Customer Service/Customer Support,Kratos Gamer Network,,"₹ 20,000 - 20,001 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-kratos-gamer-network1786104505,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Flexible work hours, 5 days a week",english proficiency spoken english proficiency written flexible work hours 5 days a week,[]
Program Management,Times Internet Limited,,"₹ 15,000 - 20,000 /month",https://internshala.com/internship/detail/program-management-internship-in-noida-at-times-internet-limited1786608899,Data Analyst,"Effective Communication, Google Docs, Google Sheets, Certificate, 5 days a week",effective communication google docs google sheets certificate 5 days a week,['google sheets']
Data Entry,Goin' My Way,,"₹ 4,000 - 5,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-delhi-at-goin-my-way1785902943,Data Analyst,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, MS-Office, Certificate, Letter of recommendation",effective communication english proficiency spoken english proficiency written interpersonal skills ms excel ms office certificate letter of recommendation,['excel']
Customer Service/Customer Support,Testkart,,"₹ 5,000 - 15,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-testkart1785485997,Data Analyst,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",english proficiency spoken english proficiency written hindi proficiency spoken ms excel ms office certificate letter of recommendation informal dress code 5 days a week free snacks beverages,['excel']
Human Resources (HR),Ecoste,,"₹ 10,000 /month",https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-prerna-tewatia1785137517,Data Analyst,"English Proficiency (Spoken), MS-Office, Onboarding, Operations, Recruitment, Certificate, Letter of recommendation",english proficiency spoken ms office onboarding operations recruitment certificate letter of recommendation,[]
Telecalling,Gharbari,,"₹ 7,500 - 15,000 /month",https://internshala.com/internship/detail/telecalling-internship-in-burdwan-at-gharbari1786698280,Data Analyst,"Bengali Proficiency (Spoken), Effective Communication, Hindi Proficiency (Spoken), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",bengali proficiency spoken effective communication hindi proficiency spoken ms excel certificate letter of recommendation flexible work hours informal dress code free snacks beverages,['excel']
HR - Operations,Ralson India Limited,,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/part-time-hr-operations-internship-in-delhi-at-ralson-india-limited1784889685,Data Analyst,"Human Resources, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",human resources certificate letter of recommendation flexible work hours informal dress code 5 days a week,[]
Customer Service/Customer Support,Hey Buddy,,"₹ 20,000 /month",https://internshala.com/internship/detail/customer-service-customer-support-internship-in-noida-at-hey-buddy1784475593,Data Analyst,"Effective Communication, English Proficiency (Spoken)",effective communication english proficiency spoken,[]
Data Entry,Vinnar Realty LLP,,"₹ 6,000 - 17,000 /month",https://internshala.com/internship/detail/data-entry-internship-in-bangalore-at-vinnar-realty-llp1786002646,Data Analyst,"MS-Excel, MS-Office, Certificate",ms excel ms office certificate,['excel']
